Generation;Avg Rock;Avg Paper;Avg Scissor;Best Rock;Best Paper;Best Scissor;LOD Rock;LOD Paper;LOD Scissor
65;0.302908;0.34456;0.352532;0.443289;0.388428;0.168283;0.293004;0.0765505;0.630446
66;0.34188;0.301124;0.356996;0.385103;0.33998;0.274917;0.555561;0.145147;0.299292
67;0.332837;0.321466;0.345697;0.380408;0.111678;0.507914;0.492851;0.241639;0.265509
68;0.312973;0.346498;0.340528;0.105824;0.572457;0.321719;0.404823;0.19848;0.396698
69;0.331536;0.323709;0.344755;0.564596;0.0690676;0.366337;0.410612;0.201318;0.38807
70;0.318792;0.327991;0.353217;0.264692;0.217389;0.517919;0.336964;0.344571;0.318465
71;0.322111;0.344703;0.333186;0.596916;0.212108;0.190976;0.221151;0.569838;0.20901
72;0.326222;0.337127;0.33665;0.252152;0.608548;0.1393;0.162392;0.684132;0.153477
73;0.325077;0.320034;0.354889;0.503834;0.402435;0.0937309;0.248787;0.516083;0.235129
74;0.309965;0.336558;0.353476;0.289246;0.158057;0.552697;0.212131;0.587384;0.200485
75;0.315113;0.357119;0.327768;0.350711;0.425965;0.223324;0.259066;0.496091;0.244843
76;0.309166;0.366213;0.324621;0.000337563;0.589268;0.410395;0.537775;0.309481;0.152743
77;0.348023;0.350183;0.301794;0.464946;0.413461;0.121593;0.574917;0.284614;0.14047
78;0.338559;0.355004;0.306437;0.587372;0.164298;0.24833;0.498865;0.379247;0.121888
79;0.343323;0.330094;0.326583;0.521021;0.0469368;0.432042;0.653994;0.261849;0.0841569
80;0.336961;0.33163;0.331408;0.549338;0.0628655;0.387797;0.0761859;0.69912;0.224694
81;0.335926;0.330862;0.333212;0.281988;0.386926;0.331086;0.457386;0.410637;0.131977
82;0.347858;0.348891;0.303251;0.417439;0.374773;0.207787;0.417439;0.374773;0.207787
83;0.326569;0.351589;0.321842;0.279728;0.489897;0.230374;0.254985;0.228924;0.516091
84;0.338368;0.349496;0.312135;0.153278;0.570435;0.276287;0.502137;0.15298;0.344882
85;0.36579;0.349163;0.285047;0.298567;0.546936;0.154497;0.328816;0.445343;0.22584
86;0.383624;0.327712;0.288664;0.34902;0.472707;0.178273;0.34902;0.472707;0.178273
87;0.355955;0.327363;0.316683;0.403466;0.480967;0.115567;0.363382;0.462278;0.17434
88;0.354114;0.342743;0.303143;0.145271;0.387184;0.467545;0.564014;0.165388;0.270598
89;0.357531;0.328021;0.314448;0.0538274;0.653014;0.293159;0.538957;0.174893;0.28615
90;0.341477;0.323006;0.335517;0.196376;0.481473;0.322151;0.51277;0.214983;0.272247
91;0.33164;0.313459;0.354901;0.626067;0.092811;0.281122;0.36395;0.152589;0.483461
92;0.33269;0.326353;0.340957;0.245347;0.33168;0.422973;0.291555;0.122237;0.586209
93;0.333443;0.332622;0.333935;0.261145;0.50816;0.230695;0.340737;0.142857;0.516406
94;0.347188;0.34194;0.310872;0.168917;0.440885;0.390199;0.367558;0.0753882;0.557054
95;0.333085;0.343917;0.322999;0.482174;0.0617257;0.4561;0.482174;0.0617257;0.4561
96;0.33893;0.356932;0.304139;0.176786;0.348551;0.474663;0.575895;0.050554;0.373551
97;0.350251;0.337908;0.311842;0.375758;0.568783;0.0554589;0.325424;0.463492;0.211084
98;0.352959;0.308034;0.339008;0.580828;0.288701;0.130471;0.530501;0.322586;0.146913
99;0.317056;0.340816;0.342128;0.506244;0.348304;0.145452;0.505555;0.339727;0.154719
100;0.32754;0.341714;0.330746;0.098319;0.303894;0.597787;0.476631;0.377502;0.145867
101;0.348028;0.331951;0.320021;0.285379;0.361685;0.352936;0.300526;0.238024;0.46145
102;0.328537;0.34568;0.325784;0.390479;0.551817;0.057704;0.4972;0.393794;0.109005
103;0.316887;0.349686;0.333428;0.30469;0.222592;0.472718;0.361087;0.559749;0.0791641
104;0.314121;0.327569;0.35831;0.617949;0.172511;0.20954;0.200811;0.311293;0.487896
105;0.32408;0.337609;0.338311;0.44484;0.124185;0.430975;0.126324;0.566755;0.306921
106;0.35299;0.315687;0.331323;0.21824;0.373102;0.408658;0.356136;0.417676;0.226188
107;0.337141;0.331107;0.331752;0.199646;0.617086;0.183268;0.334964;0.452295;0.212741
108;0.332463;0.332223;0.335314;0.202637;0.198095;0.599268;0.231027;0.622243;0.146729
109;0.348705;0.318514;0.332782;0.254364;0.620767;0.124869;0.506683;0.399186;0.0941308
110;0.345374;0.302758;0.351868;0.542583;0.306465;0.150952;0.42364;0.333761;0.242598
111;0.334798;0.304492;0.36071;0.785067;0.028504;0.186429;0.248075;0.195444;0.556481
112;0.319345;0.325224;0.35543;0.511369;0.0931515;0.39548;0.217806;0.171596;0.610598
113;0.342236;0.34451;0.313254;0.323977;0.377985;0.298038;0.225564;0.142089;0.632347
114;0.363412;0.318374;0.318214;0.374878;0.53911;0.0860123;0.140797;0.464494;0.39471
115;0.377477;0.31316;0.309363;0.0800831;0.677875;0.242042;0.122131;0.402916;0.474952
116;0.364825;0.3098;0.325375;0.538482;0.0654543;0.396064;0.285097;0.32812;0.386783
117;0.335522;0.33067;0.333808;0.373577;0.342454;0.283969;0.239842;0.434772;0.325386
118;0.336851;0.335984;0.327165;0.260125;0.476965;0.26291;0.171466;0.595912;0.232622
119;0.326001;0.34308;0.33092;0.396361;0.0908736;0.512765;0.47252;0.379383;0.148097
120;0.331441;0.330201;0.338358;0.489019;0.112117;0.398864;0.553038;0.321471;0.125491
121;0.32641;0.346863;0.326727;0.333992;0.225453;0.440555;0.393621;0.517062;0.0893172
122;0.346612;0.344236;0.309153;0.142388;0.50908;0.348532;0.460793;0.459784;0.079423
123;0.343822;0.35574;0.300438;0.173799;0.435808;0.390392;0.593613;0.304071;0.102316
124;0.339998;0.339863;0.320138;0.130867;0.427768;0.441364;0.527913;0.381096;0.0909919
125;0.340422;0.339565;0.320012;0.541835;0.264574;0.193591;0.413673;0.473316;0.113011
126;0.340147;0.349684;0.310169;0.502319;0.237464;0.260217;0.54794;0.302369;0.149691
127;0.353256;0.345083;0.301661;0.21957;0.689271;0.0911592;0.440226;0.43951;0.120265
128;0.357817;0.315593;0.32659;0.427762;0.268519;0.303719;0.548305;0.301905;0.14979
129;0.35078;0.318874;0.330346;0.441629;0.196915;0.361456;0.654304;0.231057;0.114639
130;0.369496;0.311295;0.319209;0.194217;0.513301;0.292481;0.554888;0.297505;0.147608
131;0.367857;0.311324;0.320819;0.140575;0.358286;0.501139;0.312569;0.167585;0.519845
132;0.33064;0.308459;0.360901;0.26929;0.343164;0.387546;0.196182;0.47754;0.326278
133;0.30562;0.310543;0.383837;0.21898;0.279052;0.501967;0.138984;0.629868;0.231149
134;0.313384;0.310725;0.375892;0.577541;0.104008;0.318451;0.173507;0.604612;0.22188
135;0.323217;0.313869;0.362914;0.120267;0.297873;0.581859;0.519282;0.351664;0.129053
136;0.333279;0.317844;0.348877;0.633511;0.159161;0.207327;0.550686;0.328691;0.120623
137;0.330866;0.346087;0.323046;0.0884021;0.579631;0.331966;0.582295;0.305568;0.112137
138;0.332848;0.358331;0.308822;0.203169;0.371502;0.42533;0.590601;0.295662;0.113737
139;0.344591;0.338051;0.317358;0.0950448;0.511212;0.393743;0.588151;0.297431;0.114417
140;0.336571;0.318158;0.345271;0.154763;0.348466;0.496771;0.486716;0.246135;0.267149
141;0.319871;0.340714;0.339415;0.462966;0.273402;0.263632;0.327581;0.492616;0.179803
142;0.308788;0.332696;0.358516;0.553287;0.144134;0.302579;0.235046;0.353463;0.41149
143;0.318512;0.318909;0.362579;0.561194;0.223296;0.21551;0.151391;0.583574;0.265036
144;0.317636;0.328964;0.3534;0.319907;0.41131;0.268783;0.232473;0.360543;0.406984
145;0.324867;0.349991;0.325142;0.136547;0.466358;0.397095;0.306264;0.474987;0.218749
146;0.315832;0.356319;0.327849;0.286053;0.458644;0.255303;0.354463;0.441986;0.203551
147;0.312526;0.339508;0.347965;0.0789283;0.281831;0.639241;0.293673;0.366186;0.340141
148;0.301913;0.353342;0.344745;0.424162;0.508361;0.067477;0.252151;0.4558;0.292049
149;0.306034;0.363158;0.330808;0.283747;0.21975;0.496503;0.335503;0.404999;0.259498
150;0.300985;0.348353;0.350662;0.33176;0.116957;0.551283;0.166399;0.508065;0.325537
151;0.306917;0.341692;0.351391;0.186914;0.512228;0.300858;0.155482;0.540338;0.30418
152;0.328657;0.324204;0.347139;0.448244;0.258619;0.293137;0.138256;0.480471;0.381273
153;0.33003;0.347724;0.322246;0.0888911;0.165059;0.74605;0.232655;0.427838;0.339506
154;0.327519;0.341273;0.331208;0.201924;0.58388;0.214196;0.469703;0.295671;0.234626
155;0.328393;0.34089;0.330717;0.0634446;0.351136;0.585419;0.361619;0.227633;0.410748
156;0.32405;0.331891;0.344059;0.395411;0.299152;0.305437;0.329959;0.295254;0.374787
157;0.330089;0.31731;0.3526;0.419121;0.233644;0.347235;0.324073;0.307824;0.368102
158;0.368984;0.317241;0.313775;0.0882792;0.649313;0.262408;0.268893;0.425682;0.305425
159;0.365784;0.318009;0.316207;0.477455;0.407331;0.115214;0.170873;0.270508;0.55862
160;0.339407;0.340145;0.320448;0.0394281;0.231794;0.728778;0.0589287;0.30703;0.634041
161;0.320935;0.341978;0.337088;0.325414;0.208012;0.466574;0.119778;0.624069;0.256153
162;0.296706;0.343531;0.359763;0.625875;0.101772;0.272354;0.159694;0.595769;0.244537
163;0.291578;0.340627;0.367795;0.598149;0.212262;0.189589;0.136973;0.653282;0.209745
164;0.282503;0.347447;0.37005;0.010935;0.343895;0.64517;0.296501;0.249472;0.454027
165;0.302197;0.340068;0.357734;0.216124;0.0407426;0.743134;0.250857;0.211067;0.538076
166;0.293648;0.317114;0.389238;0.448335;0.224498;0.327167;0.219726;0.308973;0.471302
167;0.286126;0.314675;0.399199;0.61387;0.079666;0.306464;0.152116;0.521601;0.326283
168;0.309114;0.309249;0.381637;0.137959;0.530681;0.33136;0.461086;0.331529;0.207385
169;0.33112;0.32245;0.34643;0.387628;0.139529;0.472843;0.623987;0.0953597;0.280653
170;0.339485;0.311194;0.349321;0.463236;0.42762;0.109145;0.704076;0.0750485;0.220875
171;0.336921;0.327248;0.33583;0.215811;0.391561;0.392627;0.745059;0.0646549;0.190286
172;0.370426;0.31125;0.318324;0.204716;0.612647;0.182637;0.501606;0.126397;0.371998
173;0.359311;0.309324;0.331364;0.636404;0.337576;0.0260196;0.328332;0.17034;0.501328
174;0.365576;0.313497;0.320927;0.50245;0.322466;0.175083;0.171957;0.209998;0.618045
175;0.331443;0.328634;0.339922;0.151157;0.376911;0.471932;0.135368;0.378092;0.48654
176;0.325846;0.32647;0.347684;0.182409;0.0452183;0.772373;0.341743;0.287847;0.37041
177;0.323894;0.336201;0.339905;0.51127;0.158867;0.329863;0.353035;0.282909;0.364056
178;0.303792;0.322615;0.373593;0.0925082;0.426385;0.481106;0.338717;0.28917;0.372113
179;0.313236;0.318203;0.368562;0.37967;0.0760117;0.544319;0.378444;0.205798;0.415758
180;0.343979;0.319849;0.336171;0.144028;0.403103;0.452868;0.392015;0.177318;0.430667
181;0.341612;0.331479;0.326909;0.298895;0.50733;0.193775;0.365648;0.232653;0.401699
182;0.361762;0.319911;0.318327;0.132577;0.380856;0.486566;0.564564;0.359218;0.076218
183;0.348961;0.320976;0.330063;0.447406;0.382323;0.170272;0.511321;0.419649;0.0690301
184;0.36247;0.320874;0.316656;0.482358;0.28961;0.228032;0.357711;0.293578;0.348711
185;0.338328;0.32939;0.332282;0.0524043;0.579988;0.367607;0.393527;0.277207;0.329266
186;0.333017;0.332566;0.334418;0.233606;0.409724;0.356669;0.440591;0.255696;0.303714
187;0.348362;0.340322;0.311316;0.481293;0.403263;0.115444;0.582044;0.19104;0.226916
188;0.345243;0.358135;0.296623;0.0107724;0.338267;0.650961;0.330781;0.10857;0.560649
189;0.322142;0.359618;0.31824;0.474107;0.486813;0.0390803;0.272491;0.0894379;0.638071
190;0.307597;0.365102;0.327301;0.446623;0.289493;0.263885;0.324769;0.0830111;0.59222
191;0.290545;0.366421;0.343034;0.20381;0.376937;0.419253;0.260232;0.0665155;0.673252
192;0.290456;0.380164;0.32938;0.209092;0.0908143;0.700093;0.259973;0.0674453;0.672582
193;0.300215;0.371619;0.328166;0.127045;0.290986;0.581969;0.415855;0.107886;0.476259
194;0.325473;0.358575;0.315952;0.118902;0.541186;0.339912;0.442493;0.0507399;0.506767
195;0.312866;0.358897;0.328238;0.4333;0.059851;0.506849;0.229866;0.506878;0.263255
